avaliacao,nota,sentimento
"A embalagem é impecável, atendimento atencioso.",1,negativo
"Apesar de um arranhão na caixa, o pedido é excelente, boa qualidade.",5,positivo
"Ainda assim a embalagem era bonita, veio com defeito, o pedido é decepcionante.",1,negativo
"O produto é excelente, recomendo.",4,positivo
"O pedido é bacana, valeu o preço.",5,positivo
"O pedido é decepcionante, tive problema na troca.",5,positivo
"O pedido é péssimo, porém chegou rápido, tive problema na troca.",2,negativo
"Boa qualidade, só achei meio caro, a entrega é impecável.",5,positivo
Mediano.,3,neutro
"Valeu o preço, a embalagem é ótimo.",5,positivo
"O produto é maravilhoso, atendimento atencioso.",5,positivo
"O produto é decepcionante, tive problema na troca.",2,negativo
"O atendimento é fraco, chegou quebrado.",5,positivo
"O pedido é horrível, não recomendo.",5,positivo
Atende ao básico.,3,neutro
"O produto é excelente, valeu o preço.",4,positivo
É ok.,3,neutro
"Apesar de um arranhão na caixa, a embalagem é bacana, chegou antes do prazo.",4,positivo
"Apesar de um arranhão na caixa, voltarei a comprar, o produto é impecável.",4,positivo
"Abaixo do esperado, a compra é decepcionante, ainda assim a embalagem era bonita.",1,negativo
"Esperava mais mas serve, esperava mais mas serve.",3,neutro
"O pedido é ótimo, voltarei a comprar.",5,positivo
"Veio com defeito, a compra é fraco.",1,negativo
"Comum, sem destaque, esperava mais mas serve.",3,neutro
"Razoável pelo preço, é ok.",3,neutro
"Mas o atendimento tentou ajudar, demorou para chegar, o pedido é horrível.",1,negativo
"O pedido é horrível, veio com defeito.",2,negativo
"O pedido é bacana, valeu o preço.",4,positivo
"Recomendo, a compra é muito bom.",5,positivo
"Apesar de um arranhão na caixa, recomendo, a compra é perfeito.",5,positivo
"Esperava mais mas serve, cumpre o que promete.",4,positivo
"O atendimento é excelente, superou as expectativas.",5,positivo
Cumpre o que promete.,3,neutro
"Chegou antes do prazo, o atendimento é maravilhoso.",4,positivo
"O pedido é decepcionante, tive problema na troca.",1,negativo
"Demorou para chegar, a compra é frustrante.",1,negativo
"O produto é decepcionante, não recomendo.",1,negativo
"Veio com defeito, esperava mais mas serve.",3,neutro
"Esperava mais mas serve, atende ao básico.",3,neutro
Dentro do esperado.,3,neutro
"Entrega rápida, dentro do esperado, comum, sem destaque.",3,neutro
"Recomendo, mediano.",4,positivo
Razoável pelo preço.,3,neutro
"O produto é fraco, poderia ser melhor.",1,negativo
"A entrega é fraco, não recomendo.",2,negativo
"Atende ao básico, abaixo do esperado.",5,positivo
"A compra é ótimo, chegou antes do prazo.",4,positivo
"Superou as expectativas, a compra é incrível.",5,positivo
"Chegou antes do prazo, a embalagem é excelente.",5,positivo
"O atendimento é impecável, superou as expectativas.",4,positivo
"Tive problema na troca, o atendimento é horrível.",2,negativo
"Veio com defeito, o atendimento é frustrante.",2,negativo
"O pedido é muito bom, mas a entrega demorou um pouco, chegou antes do prazo.",5,positivo
"Chegou quebrado, a compra é fraco.",2,negativo
"O atendimento é bacana, apesar de um arranhão na caixa, superou as expectativas.",4,positivo
"A entrega é bacana, voltarei a comprar.",1,negativo
"Cumpre o que promete, voltarei a comprar.",3,neutro
"A compra é maravilhoso, voltarei a comprar.",4,positivo
"A embalagem é horrível, ainda assim a embalagem era bonita, tive problema na troca.",1,negativo
"Voltarei a comprar, o atendimento é incrível.",4,positivo
"Mas o atendimento tentou ajudar, tive problema na troca, a compra é péssimo.",4,positivo
"É ok, razoável pelo preço.",2,negativo
"A entrega é muito bom, apesar de um arranhão na caixa, chegou antes do prazo.",4,positivo
"O pedido é maravilhoso, voltarei a comprar.",5,positivo
"É ok, dentro do esperado.",3,neutro
"Atende ao básico, razoável pelo preço.",5,positivo
"A compra é frustrante, poderia ser melhor.",2,negativo
"A entrega é horrível, poderia ser melhor.",4,positivo
"Entrega rápida, apesar de um arranhão na caixa, o pedido é maravilhoso.",5,positivo
"O atendimento é péssimo, tive problema na troca.",5,positivo
"A entrega é maravilhoso, boa qualidade.",4,positivo
"Chegou antes do prazo, a compra é excelente.",4,positivo
"Voltarei a comprar, mediano.",3,neutro
"Chegou antes do prazo, o pedido é ótimo.",4,positivo
"Tive problema na troca, a compra é frustrante.",2,negativo
"A embalagem é frustrante, chegou quebrado.",1,negativo
"A compra é bacana, valeu o preço.",4,positivo
"O atendimento é muito bom, entrega rápida.",5,positivo
"Razoável pelo preço, atende ao básico.",3,neutro
"A embalagem é perfeito, mas a entrega demorou um pouco, recomendo.",5,positivo
"A compra é ruim, não recomendo.",2,negativo
"O atendimento é bacana, chegou antes do prazo.",5,positivo
"Tive problema na troca, o atendimento é fraco.",2,negativo
"É ok, comum, sem destaque.",3,neutro
"A compra é impecável, recomendo.",2,negativo
"Superou as expectativas, só achei meio caro, a entrega é ótimo.",4,positivo
"O pedido é frustrante, abaixo do esperado.",4,positivo
"O produto é impecável, só achei meio caro, entrega rápida.",4,positivo
"Só achei meio caro, o produto é impecável, entrega rápida.",5,positivo
"A entrega é impecável, boa qualidade.",5,positivo
"Tive problema na troca, o produto é ruim.",2,negativo
"O pedido é excelente, valeu o preço.",4,positivo
"A entrega é incrível, chegou antes do prazo.",5,positivo
"Voltarei a comprar, o atendimento é incrível.",5,positivo
"Recomendo, a compra é incrível.",4,positivo
"Mas o atendimento tentou ajudar, poderia ser melhor, a entrega é frustrante.",2,negativo
"A entrega é incrível, atendimento atencioso.",5,positivo
"O produto é bacana, superou as expectativas.",5,positivo
"O atendimento é frustrante, tive problema na troca.",1,negativo
"Entrega rápida, o produto é maravilhoso.",4,positivo
"A entrega é fraco, não recomendo, mas o atendimento tentou ajudar.",2,negativo
"Abaixo do esperado, o produto é horrível, mas o atendimento tentou ajudar.",5,positivo
"A entrega é péssimo, abaixo do esperado.",1,negativo
Mediano.,3,neutro
"Boa qualidade, a compra é maravilhoso.",5,positivo
"Chegou antes do prazo, o atendimento é perfeito.",4,positivo
"O atendimento é excelente, entrega rápida.",4,positivo
"Voltarei a comprar, a entrega é incrível, apesar de um arranhão na caixa.",5,positivo
"É ok, cumpre o que promete.",3,neutro
"Apesar de um arranhão na caixa, superou as expectativas, o atendimento é maravilhoso.",4,positivo
"O atendimento é impecável, entrega rápida.",4,positivo
"Superou as expectativas, o atendimento é ótimo.",5,positivo
"O produto é maravilhoso, voltarei a comprar.",5,positivo
"Atendimento atencioso, esperava mais mas serve, é ok.",5,positivo
Mediano.,3,neutro
"Apesar de um arranhão na caixa, recomendo, a embalagem é bacana.",4,positivo
"Valeu o preço, o pedido é ótimo.",3,neutro
"Recomendo, o produto é bacana.",5,positivo
"A compra é maravilhoso, valeu o preço.",5,positivo
"Demorou para chegar, ainda assim a embalagem era bonita, o produto é frustrante.",1,negativo
"Cumpre o que promete, dentro do esperado.",1,negativo
"O produto é impecável, boa qualidade.",4,positivo
"Valeu o preço, a embalagem é perfeito, só achei meio caro.",4,positivo
"O produto é muito bom, valeu o preço.",4,positivo
"Veio com defeito, o pedido é ruim.",3,neutro
"Não recomendo, o produto é péssimo.",2,negativo
"A compra é incrível, recomendo.",4,positivo
"O produto é ótimo, entrega rápida.",4,positivo
"Chegou quebrado, comum, sem destaque, dentro do esperado.",3,neutro
"Atende ao básico, esperava mais mas serve.",4,positivo
"O atendimento é fraco, tive problema na troca.",2,negativo
"Atendimento atencioso, a entrega é maravilhoso.",5,positivo
"Atende ao básico, razoável pelo preço.",1,negativo
"Comum, sem destaque.",3,neutro
"Tive problema na troca, ainda assim a embalagem era bonita, a embalagem é decepcionante.",1,negativo
"O produto é decepcionante, abaixo do esperado.",1,negativo
"A entrega é frustrante, tive problema na troca.",1,negativo
"Entrega rápida, o pedido é maravilhoso.",5,positivo
"Valeu o preço, o atendimento é excelente.",4,positivo
"Mediano, cumpre o que promete, entrega rápida.",3,neutro
"A entrega é decepcionante, demorou para chegar.",2,negativo
"O produto é ótimo, recomendo.",4,positivo
"Dentro do esperado, boa qualidade.",3,neutro
"A embalagem é fraco, poderia ser melhor.",1,negativo
"Entrega rápida, apesar de um arranhão na caixa, a entrega é bacana.",5,positivo
"O pedido é muito bom, boa qualidade.",5,positivo
"O produto é frustrante, poderia ser melhor.",2,negativo
"Entrega rápida, o pedido é maravilhoso.",4,positivo
"Chegou antes do prazo, a compra é maravilhoso.",5,positivo
"Valeu o preço, a entrega é bacana.",4,positivo
"Poderia ser melhor, a compra é frustrante.",2,negativo
"Apesar de um arranhão na caixa, recomendo, o pedido é muito bom.",5,positivo
"A compra é horrível, abaixo do esperado.",2,negativo
Esperava mais mas serve.,2,negativo
"Ainda assim a embalagem era bonita, a compra é fraco, abaixo do esperado.",5,positivo
"A compra é ótimo, superou as expectativas.",5,positivo
"Esperava mais mas serve, é ok.",3,neutro
"Boa qualidade, o produto é bacana.",4,positivo
"O atendimento é ruim, abaixo do esperado.",2,negativo
"A compra é bacana, entrega rápida.",2,negativo
"A embalagem é excelente, recomendo.",5,positivo
"Demorou para chegar, a embalagem é horrível.",1,negativo
"O produto é bacana, valeu o preço.",5,positivo
"A compra é muito bom, recomendo.",5,positivo
"Poderia ser melhor, esperava mais mas serve, cumpre o que promete.",3,neutro
"Mediano, dentro do esperado, abaixo do esperado.",3,neutro
"O atendimento é impecável, valeu o preço.",4,positivo
"Razoável pelo preço, é ok.",5,positivo
"Só achei meio caro, atendimento atencioso, o pedido é incrível.",4,positivo
"Abaixo do esperado, a embalagem é frustrante.",2,negativo
"Atendimento atencioso, o produto é incrível.",5,positivo
"O produto é decepcionante, porém chegou rápido, demorou para chegar.",1,negativo
"O atendimento é frustrante, poderia ser melhor.",2,negativo
"A compra é ruim, chegou quebrado.",1,negativo
"Voltarei a comprar, a compra é maravilhoso.",4,positivo
"O pedido é fraco, não recomendo.",2,negativo
"Tive problema na troca, o atendimento é fraco.",1,negativo
"A embalagem é maravilhoso, boa qualidade.",4,positivo
"O pedido é horrível, demorou para chegar.",1,negativo
"A compra é muito bom, chegou antes do prazo.",5,positivo
"Demorou para chegar, o produto é decepcionante.",2,negativo
"A entrega é perfeito, valeu o preço.",5,positivo
"A compra é frustrante, demorou para chegar.",1,negativo
"Comum, sem destaque, esperava mais mas serve, voltarei a comprar.",3,neutro
"Esperava mais mas serve, é ok.",3,neutro
"Voltarei a comprar, a compra é ótimo.",5,positivo
"Mas o atendimento tentou ajudar, o pedido é ruim, poderia ser melhor.",1,negativo
"Veio com defeito, o produto é fraco.",1,negativo
"Voltarei a comprar, a entrega é excelente.",4,positivo
"Veio com defeito, a entrega é decepcionante.",4,positivo
"Chegou quebrado, a compra é frustrante, ainda assim a embalagem era bonita.",4,positivo
"Comum, sem destaque, é ok.",3,neutro
"Entrega rápida, o pedido é bacana.",4,positivo
"Dentro do esperado, cumpre o que promete, tive problema na troca.",3,neutro
"O pedido é incrível, mas a entrega demorou um pouco, entrega rápida.",5,positivo
"Superou as expectativas, mediano, atende ao básico.",3,neutro
